s,t,time_min,distance_km,s_Node_Number,t_Node_Number
Moriones Street,Recto Avenue,3.0,1.3,26,25
Nagtahan,Old Sta. Mesa Street,3.0,1.3,68,69
NAIA Terminal 1,NAIA Terminal 2,9.0,2.4,12,13
NAIA Terminal 1,Pitx,8.0,3.3,12,4
NAIA Terminal 2,NAIA Terminal 4,8.0,2.6,13,14
NAIA Terminal 4,NAIA Terminal 3,9.0,2.3,14,15
Nichols,Taguig District Hospital / FTI,4.0,1.7,18,17
Novaliches Market,Quirino Avenue - Quezon,11.0,3.9,108,109
Novaliches Market,Novaliches Terminal,3.0,0.9,108,107
Old Sta. Mesa Street,V.Mapa,2.0,0.7,69,70
Ospital Ng Maynila,Quirino Avenue - Manila,3.0,1.0,22,46
Pasig Boulevard,Pasig Rotonda - Jollibee,1.0,0.6,60,59
Pasig Boulevard,Rizal Medical Center,2.0,0.8,60,61
Pasig Palengke,Pasig Rotonda - Jollibee,5.0,1.7,58,59
Philcoa,Quezon Memorial Circle,2.0,1.0,96,125
Pinaglabanan,Valencia,3.0,1.1,131,132
Pinaglabanan,V.Mapa,4.0,1.4,131,70
Pitx,Sto. Nino,12.0,4.7,4,11
Pitx,Tramo,11.0,7.6,4,6
Quezon Institute,Rotonda,3.0,1.2,133,135
Quezon Memorial Circle,SM North EDSA,8.0,3.0,125,113
Quezon Memorial Circle,Visayas Avenue,6.0,3.0,125,116
Quirino Avenue - Manila,United Nations Avenue,4.0,1.5,46,45
Quirino Avenue - Quezon,Tandang Sora - Mindanao,3.0,1.7,109,110
Robinsons Galleria,Santolan,3.0,1.9,76,146
Roosevelt - Quezon,Shorthorn Street,3.0,1.6,114,115
Roosevelt - Quezon,Kaingin Road,2.0,0.9,114,147
Roosevelt - Quezon,SM North EDSA,2.0,0.8,114,113
Santolan,Cubao,3.0,1.5,146,126
SM City Sucat,Waltermart Sucat,5.0,2.1,10,148
SM City Sucat,Sto. Nino,5.0,2.5,10,11
SM Fairview,Zabarte Road,5.0,2.3,103,102
SM Marikina,Sta. Lucia East Grand Mall Cainta,3.0,1.8,120,121
SM North EDSA,Veterans Memorial Medical Center,8.0,3.7,113,112
Tramo,RobinsonsLas Pinas,11.0,4.4,6,149
Tandang Sora - Congressional,Visayas Avenue,2.0,0.65,117,116
Zabarte Road,Camarin,14.0,4.2,102,144
Bagong Silang Market,Camarin,3.0,0.7,143,144
Novaliches Terminal,Zabarte Road,4.0,1.0,107,102
Waltermart Sucat,Sucat Exit,17.0,6.1,148,9
